subject_id	subject_label	object_id	object_label	verdict	new_candidates	only_in_oak	only_in_ols	notes
MIM:Deuterated_Glucose	deuterated glucose	kgmicrobe.compound:deuterated_glucose	deuterated glucose	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:deuterated_glucose
MIM:Dextran	Dextran	CHEBI:52071	dextran	CONFIRMED				
MIM:Dextrin	Dextrin	CHEBI:28675	dextrin	CONFIRMED				
MIM:Dextrose	Dextrose	CHEBI:4167	D-glucopyranose	SYNONYM_ENRICH	(+)-D-glucose			
MIM:Diallyl_Sulfide	Diallyl sulfide	CHEBI:4489	Diallyl sulfide	CONFIRMED				
MIM:Diaminopimelic_Acid	Diaminopimelic acid	CHEBI:23674	None	SYNONYM_ENRICH	Diaminopimelic acid			
MIM:Diammonium_molybdate	Diammonium molybdate	CHEBI:91249	ammonium molybdate	SYNONYM_ENRICH	(NH4)6Mo7O24 x 4 H2O|(NH4)6Mo7O24|Molybdic acid ammonium salt tetrahydrate|Ammonium heptamolybdate tetrahydrate			
MIM:Dibenzofuran	Dibenzofuran	CHEBI:28145	dibenzofuran	CONFIRMED				
MIM:Dibenzothiophene	Dibenzothiophene	CHEBI:23681	dibenzothiophene	CONFIRMED				
MIM:Dibucaine	Dibucaine	CHEBI:247956	cinchocaine	CONFIRMED				
MIM:Dicloxacillin_Sodium_Salt_Monohydrate	Dicloxacillin sodium salt monohydrate	CHEBI:52019	dicloxacillin sodium monohydrate	SYNONYM_ENRICH	Dicloxacillin sodium salt monohydrate			
MIM:Diethyl_Ether	diethyl ether	CHEBI:35702	diethyl ether	CONFIRMED				
MIM:Difucosyllactose	Difucosyllactose	CHEBI:89917	Lactodifucotetraose	SYNONYM_ENRICH	Difucosyllactose			
MIM:Digested_Serum	Digested serum	MICRO:0001362	digested serum	UNKNOWN_TERM				neither OAK nor OLS resolves MICRO:0001362
MIM:Digoxigenin	Digoxigenin	CHEBI:42098	digoxigenin	CONFIRMED				
MIM:Dihydro_Azathymidine	Dihydro Azathymidine	kgmicrobe.compound:dihydro_azathymidine	Dihydro Azathymidine	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:dihydro_azathymidine
MIM:Dihydrojasmonic_Acid_Methyl_Ester	dihydrojasmonic acid, methyl ester	CHEBI:89741	Methyl dihydrojasmonate	SYNONYM_ENRICH	dihydrojasmonic acid, methyl ester			
MIM:Dihydroxyacetone	Dihydroxyacetone	CHEBI:16016	dihydroxyacetone	CONFIRMED				
MIM:Dimethyl_Sulfide	Dimethyl sulfide	CHEBI:17437	dimethyl sulfide	CONFIRMED				
MIM:Dimethyl_Sulfone	dimethyl sulfone	CHEBI:9349	sulfonyldimethane	CONFIRMED				
MIM:Dimethyl_Sulfoxide	Dimethyl sulfoxide	CHEBI:28262	dimethyl sulfoxide	CONFIRMED				
MIM:Dimethylfraxetin	Dimethylfraxetin	CHEBI:93172	6,7,8-trimethoxy-1-benzopyran-2-one	SYNONYM_ENRICH	Dimethylfraxetin			
MIM:Dimethylfraxetin	Dimethylfraxetin	cas:6035-49-0	Dimethylfraxetin	UNKNOWN_TERM				neither OAK nor OLS resolves cas:6035-49-0
MIM:Dimethylfraxetin	Dimethylfraxetin	kgmicrobe.compound:dimethylfraxetin	Dimethylfraxetin	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:dimethylfraxetin
MIM:Dimethylsulfoniopropionate_Hydrochloride	Dimethylsulfoniopropionate hydrochloride	CHEBI:16457	S,S-dimethyl-beta-propiothetin	SYNONYM_ENRICH	Dimethylsulfoniopropionate hydrochloride			
MIM:Dimetridazole	Dimetridazole	CHEBI:141155	dimetridazole	CONFIRMED				
MIM:Diosgenin	Diosgenin	CHEBI:4629	diosgenin	CONFIRMED				
MIM:Dipicolinic_Acid	Dipicolinic Acid	CHEBI:46837	dipicolinic acid	CONFIRMED				
MIM:Disodium_Glutarate	Disodium Glutarate	mesh:C000730144	sodium glutarate	UNKNOWN_TERM				neither OAK nor OLS resolves mesh:C000730144
MIM:Disodium_Glutarate	Disodium Glutarate	cas:13521-83-0	Disodium Glutarate	UNKNOWN_TERM				neither OAK nor OLS resolves cas:13521-83-0
MIM:Disodium_Glutarate	Disodium Glutarate	kgmicrobe.compound:disodium_glutarate	Disodium Glutarate	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:disodium_glutarate
MIM:Disodium_Oxalate	Disodium oxalate	CHEBI:132764	sodium oxalate	SYNONYM_ENRICH	Na-oxalate			
MIM:Disodium_Phosphate_Heptahydrate_~28002_M_Stock~29	Disodium phosphate heptahydrate (0.02 M stock)	CHEBI:131825	8,5'-cyclo-2'-deoxyadenosine	SYNONYM_ENRICH	Disodium phosphate heptahydrate (0.02 M stock)|disodium hydrogen phosphate heptahydrate			
MIM:Distilled_Water	Distilled water	CHEBI:15377	water	SYNONYM_ENRICH	Distilled water|Demineralized water|Double distilled water|Tap water|dH2O			
MIM:Dithionite	Dithionite	CHEBI:42160	dithionite(2-)	CONFIRMED				
MIM:Dl-2-methylbutyric_Acid	DL-2-Methylbutyric acid	CHEBI:37070	2-methylbutyric acid	SYNONYM_ENRICH	DL-2-Methylbutyric acid|2-Methyl-butyric acid|DL-2-Methyl butyric acid|DL-alpha-Methyl butyric acid|DL-α-Methyl butyric acid|α-Methylbutyric acid			
MIM:Dl-alpha-lipoic_Acid	(DL)-alpha-Lipoic acid	CHEBI:16494	lipoic acid	SYNONYM_ENRICH	(DL)-alpha-Lipoic acid|DL-6,8-thioctic acid|DL-alpha-lipoic acid|Lipoate			
MIM:Dl-aspartic_Acid	DL-aspartic acid	CHEBI:22660	aspartic acid	SYNONYM_ENRICH	DL-aspartic acid			
MIM:Dl-carnitine	DL-carnitine	CHEBI:17126	carnitine	SYNONYM_ENRICH	DL-carnitine			
MIM:Dl-dithiothreitol	DL-Dithiothreitol	CHEBI:42106	L-1,4-dithiothreitol	SYNONYM_ENRICH	DL-Dithiothreitol|(R*,R*)-1,4-dimercapto-2,3-butanediol|Cleland's reagent|DTL|DTT|Dithiotreitol|rac-Dithiothreitol|rel-(2R,3R)-1,4-disulfanylbutane-2,3-diol|Dithiothreitol|(100 mM solution)			
MIM:Dl-dithiothreitol	DL-Dithiothreitol	kgmicrobe.compound:dl-dithiothreitol	DL-Dithiothreitol	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:dl-dithiothreitol
MIM:Dl-histidine	DL-Histidine	CHEBI:27570	histidine	CONFIRMED				
MIM:Dl-malic_Acid	DL-Malic acid	CHEBI:6650	malic acid	SYNONYM_ENRICH	D,L-Malic Acid|DL-Malate|7,10-dihydroxy-2-(2-methoxypropan-2-yl)-8-(2-methylbut-3-en-2-yl)-6H-furo[3,2-c]xanthen-6-one|garciniaxanthone F			
MIM:Dl-methionine	DL-methionine	CHEBI:16811	methionine	CONFIRMED				
MIM:Dl-mevalonic_Acid	DL-mevalonic acid	CHEBI:25351	mevalonic acid	SYNONYM_ENRICH	(2R,4S,5R,6R)-5-Acetamido-2-[(2R,3S,4R,5S)-5-acetamido-4-[(2R,3R,4R,5S,6R)-3-acetamido-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2,3,6-trihydroxyhexoxy]-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid			
MIM:Dl-tryptophan	DL-Tryptophan	CHEBI:57912	L-tryptophan zwitterion	SYNONYM_ENRICH	DL-Tryptophan			
MIM:Docosanol	Docosanol	CHEBI:197511	docosanol	CONFIRMED				
MIM:Dodecandioic_Acid	Dodecandioic acid	CHEBI:4676	dodecanedioic acid	SYNONYM_ENRICH	Dodecandioic acid			
MIM:Dodecane	dodecane	CHEBI:28817	dodecane	CONFIRMED				
MIM:Dodecanol	Dodecanol	CHEBI:23866	dodecanol	CONFIRMED				
MIM:Dopamine_Hydrochloride	Dopamine hydrochloride	CHEBI:4698	Dopamine hydrochloride	CONFIRMED				
MIM:Dopsisamine	Dopsisamine	mesh:C048266	dopsisamine	UNKNOWN_TERM				neither OAK nor OLS resolves mesh:C048266
MIM:Doxorubicin_Hydrochloride	Doxorubicin hydrochloride	CHEBI:31522	Doxorubicin hydrochloride	CONFIRMED				
MIM:Doxycycline_Hyclate	Doxycycline hyclate	CHEBI:34730	doxycycline hyclate	CONFIRMED				
MIM:Dry_Cow-manure	Dry cow-manure	ENVO:00003031	animal manure	SYNONYM_ENRICH	Dry cow-manure			
MIM:Duartin_~28-~29	Duartin (-)	mesh:C087989	duartin	UNKNOWN_TERM				neither OAK nor OLS resolves mesh:C087989
MIM:Duartin_~28-~29	Duartin (-)	cas:52305-04-1	Duartin (-)	UNKNOWN_TERM				neither OAK nor OLS resolves cas:52305-04-1
MIM:Duartin_~28-~29	Duartin (-)	kgmicrobe.compound:duartin_~28-~29	Duartin (-)	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:duartin_~28-~29
MIM:Durhamycin	Durhamycin	kgmicrobe.compound:durhamycin	Durhamycin	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:durhamycin
MIM:Dynemicin	Dynemicin	NCIT:C1928	Dynemicin	UNKNOWN_TERM				neither OAK nor OLS resolves NCIT:C1928
MIM:E-Amino-N-Caproic_Acid	e-Amino-N-Caproic Acid	CHEBI:16586	6-aminohexanoic acid	SYNONYM_ENRICH	e-Amino-N-Caproic Acid			
MIM:EDTA_~28acid_Form~29	EDTA (acid form)	CHEBI:42191	EDTA(4-)	SYNONYM_ENRICH	EDTA (acid form)|edetic acid			
MIM:EDTA_~28chelating_Agent~29	EDTA (chelating agent)	NCIT:C360	Chelating Agent	UNKNOWN_TERM				neither OAK nor OLS resolves NCIT:C360
MIM:EDTA_Tetrasodium_Tetrahydrate_Salt	EDTA tetrasodium tetrahydrate salt	cas:13235-36-4	EDTA tetrasodium tetrahydrate salt	UNKNOWN_TERM				neither OAK nor OLS resolves cas:13235-36-4
MIM:E_4_Aminostyryl_Acetate	E 4 Aminostyryl Acetate	kgmicrobe.compound:e_4_aminostyryl_acetate	E 4 Aminostyryl Acetate	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:e_4_aminostyryl_acetate
MIM:Ebselen	Ebselen	CHEBI:77543	ebselen	CONFIRMED				
MIM:Econazole_Nitrate_Salt	Econazole nitrate salt	CHEBI:4755	econazole nitrate	SYNONYM_ENRICH	Econazole nitrate salt			
MIM:Ectoine	Ectoine	CHEBI:27592	ectoine	CONFIRMED				
MIM:Edta	EDTA	CHEBI:64755	EDTA(2-)	CONFIRMED				
MIM:Egg_Yolk	Egg yolk	FOODON:03315772	chicken egg yolk food product	SYNONYM_ENRICH	Egg yolk			
MIM:Elastin	Elastin	CHEBI:4767	Elastin	CONFIRMED				
MIM:Emodin	Emodin	CHEBI:42223	emodin	CONFIRMED				
MIM:Enterobactin	Enterobactin	CHEBI:28855	enterobactin	CONFIRMED				
MIM:Epiandrosterone	Epiandrosterone	CHEBI:541975	epiandrosterone	CONFIRMED				
MIM:Epigallocatechin	Epigallocatechin	CHEBI:42255	(-)-epigallocatechin	SYNONYM_ENRICH	Epigallocatechin			
MIM:Erythromycin	erythromycin	CHEBI:48923	erythromycin	CONFIRMED				
MIM:Escin	Escin	CHEBI:2500	Aescin	CONFIRMED				
MIM:Esculin_Monohydrate	Esculin Monohydrate	CHEBI:4853	esculin	SYNONYM_ENRICH	Esculin Monohydrate			
MIM:Estragole	Estragole	CHEBI:4867	estragole	CONFIRMED				
MIM:Etabetacin	Etabetacin	kgmicrobe.compound:etabetacin	Etabetacin	UNKNOWN_TERM				neither OAK nor OLS resolves kgmicrobe.compound:etabetacin
MIM:Etamycin	Etamycin	mesh:C004910	etamycin	UNKNOWN_TERM				neither OAK nor OLS resolves mesh:C004910
MIM:Ethambutol	Ethambutol	CHEBI:4877	ethambutol	CONFIRMED				
MIM:Ethambutol_Dihydrochloride	Ethambutol dihydrochloride	CHEBI:4878	ethambutol dihydrochloride	CONFIRMED				
