file	identifier	preferred_term	mapping_status	ontology_id	ontology_label	review_verdict	reviewer_notes
Dimethylamine.yaml	CHEBI:17170	Dimethylamine	PENDING_REVIEW	CHEBI:17170	dimethylamine	PENDING	
Dioxygen.yaml	CHEBI:15379	Dioxygen	PENDING_REVIEW	CHEBI:15379	dioxygen	PENDING	
Disodium_Malate.yaml	CHEBI:91260	Disodium Malate	PENDING_REVIEW	CHEBI:91260	disodium malate	PENDING	
Dl-alanine.yaml	NCIT:C61731	Dl-alanine	PENDING_REVIEW	NCIT:C61731	DL-Alanine	PENDING	
Docosane.yaml	CHEBI:46050	Docosane	PENDING_REVIEW	CHEBI:46050	docosane	PENDING	
Dodecanoate.yaml	CHEBI:18262	Dodecanoate	PENDING_REVIEW	CHEBI:18262	dodecanoate	PENDING	
Doripenem.yaml	CHEBI:135928	Doripenem	PENDING_REVIEW	CHEBI:135928	doripenem	PENDING	
Dotriacontane.yaml	CHEBI:36020	Dotriacontane	PENDING_REVIEW	CHEBI:36020	dotriacontane	PENDING	
Doxorubicin.yaml	CHEBI:28748	Doxorubicin	PENDING_REVIEW	CHEBI:28748	doxorubicin	PENDING	
Doxycycline.yaml	CHEBI:50845	Doxycycline	PENDING_REVIEW	CHEBI:50845	doxycycline	PENDING	
Enoxacin.yaml	CHEBI:157175	Enoxacin	PENDING_REVIEW	CHEBI:157175	enoxacin	PENDING	
Enrofloxacin.yaml	CHEBI:35720	Enrofloxacin	PENDING_REVIEW	CHEBI:35720	enrofloxacin	PENDING	
Erythromycin_A.yaml	CHEBI:42355	Erythromycin A	PENDING_REVIEW	CHEBI:42355	erythromycin A	PENDING	
Erythromycin_B.yaml	CHEBI:28196	Erythromycin B	PENDING_REVIEW	CHEBI:28196	erythromycin B	PENDING	
Erythrose.yaml	CHEBI:33946	Erythrose	PENDING_REVIEW	CHEBI:33946	erythrose	PENDING	
Exopolysaccharide.yaml	CHEBI:72813	Exopolysaccharide	PENDING_REVIEW	CHEBI:72813	exopolysaccharide	PENDING	
Fibrin.yaml	CHEBI:5054	Fibrin	PENDING_REVIEW	CHEBI:5054	Fibrin	PENDING	
Fidaxomicin.yaml	CHEBI:68590	Fidaxomicin	PENDING_REVIEW	CHEBI:68590	fidaxomicin	PENDING	
Fleroxacin.yaml	CHEBI:31810	Fleroxacin	PENDING_REVIEW	CHEBI:31810	fleroxacin	PENDING	
Fluorene.yaml	CHEBI:28266	Fluorene	PENDING_REVIEW	CHEBI:28266	fluorene	PENDING	
Fluorescein.yaml	NCIT:C61766	Fluorescein	PENDING_REVIEW	NCIT:C61766	Fluorescein	PENDING	
Formamicin.yaml	CHEBI:203275	Formamicin	PENDING_REVIEW	CHEBI:203275	Formamicin	PENDING	
Formate.yaml	CHEBI:15740	Formate	PENDING_REVIEW	CHEBI:15740	formate	PENDING	
Fortimicin_B.yaml	CHEBI:81284	Fortimicin B	PENDING_REVIEW	CHEBI:81284	Fortimicin B	PENDING	
Fosfomycin.yaml	CHEBI:28915	Fosfomycin	PENDING_REVIEW	CHEBI:28915	fosfomycin	PENDING	
Framycetin.yaml	CHEBI:7508	Framycetin	PENDING_REVIEW	CHEBI:7508	framycetin	PENDING	
Fucoidan.yaml	CHEBI:5181	Fucoidan	PENDING_REVIEW	CHEBI:5181	fucoidan	PENDING	
Fungichromin.yaml	CHEBI:31639	Fungichromin	PENDING_REVIEW	CHEBI:31639	Fungichromin	PENDING	
Furazolidone.yaml	CHEBI:5195	Furazolidone	PENDING_REVIEW	CHEBI:5195	furazolidone	PENDING	
Fusidate.yaml	CHEBI:71321	Fusidate	PENDING_REVIEW	CHEBI:71321	fusidate	PENDING	
Galactitol.yaml	CHEBI:16813	Galactitol	PENDING_REVIEW	CHEBI:16813	galactitol	PENDING	
Galactonate.yaml	CHEBI:24148	Galactonate	PENDING_REVIEW	CHEBI:24148	galactonate	PENDING	
Galacturonate.yaml	CHEBI:24175	Galacturonate	PENDING_REVIEW	CHEBI:24175	galacturonate	PENDING	
Gentamicin_C2b.yaml	CHEBI:81283	Gentamicin C2b	PENDING_REVIEW	CHEBI:81283	Gentamicin C2b	PENDING	
Gluconate.yaml	CHEBI:24265	Gluconate	PENDING_REVIEW	CHEBI:24265	gluconate	PENDING	
Glucosamine.yaml	CHEBI:5417	Glucosamine	PENDING_REVIEW	CHEBI:5417	glucosamine	PENDING	
Glucuronate.yaml	CHEBI:24297	Glucuronate	PENDING_REVIEW	CHEBI:24297	glucuronate	PENDING	
Glutarate.yaml	CHEBI:24329	Glutarate	PENDING_REVIEW	CHEBI:24329	glutarate	PENDING	
Glycerate.yaml	CHEBI:33871	Glycerate	PENDING_REVIEW	CHEBI:33871	glycerate	PENDING	
Glycolate.yaml	CHEBI:29805	Glycolate	PENDING_REVIEW	CHEBI:29805	glycolate	PENDING	
Glyoxylate.yaml	CHEBI:36655	Glyoxylate	PENDING_REVIEW	CHEBI:36655	glyoxylate	PENDING	
Gramicidin_S.yaml	CHEBI:5530	Gramicidin S	PENDING_REVIEW	CHEBI:5530	gramicidin S	PENDING	
Granaticin.yaml	CHEBI:5533	Granaticin	PENDING_REVIEW	CHEBI:5533	granaticin	PENDING	
Guanidinium_Chloride.yaml	CHEBI:32735	Guanidinium Chloride	PENDING_REVIEW	CHEBI:32735	guanidinium chloride	PENDING	
Henicosane.yaml	CHEBI:32931	Henicosane	PENDING_REVIEW	CHEBI:32931	henicosane	PENDING	
Hexadecanoate.yaml	CHEBI:7896	Hexadecanoate	PENDING_REVIEW	CHEBI:7896	hexadecanoate	PENDING	
Hexane.yaml	CHEBI:29021	Hexane	PENDING_REVIEW	CHEBI:29021	hexane	PENDING	
Hexanoate.yaml	CHEBI:17120	Hexanoate	PENDING_REVIEW	CHEBI:17120	hexanoate	PENDING	
Hopanoid.yaml	CHEBI:51963	Hopanoid	PENDING_REVIEW	CHEBI:51963	hopanoid	PENDING	
Hydroxyacetophenone.yaml	CHEBI:24668	Hydroxyacetophenone	PENDING_REVIEW	CHEBI:24668	hydroxyacetophenone	PENDING	
Hydroxyethylcellulose.yaml	CHEBI:85249	Hydroxyethylcellulose	PENDING_REVIEW	CHEBI:85249	hydroxyethylcellulose	PENDING	
Hygromycin.yaml	CHEBI:24753	Hygromycin	PENDING_REVIEW	CHEBI:24753	hygromycin	PENDING	
Hygromycin_A.yaml	CHEBI:69414	Hygromycin A	PENDING_REVIEW	CHEBI:69414	hygromycin A	PENDING	
Icosane.yaml	CHEBI:43619	Icosane	PENDING_REVIEW	CHEBI:43619	icosane	PENDING	
Indole-3-acetate.yaml	CHEBI:30854	Indole-3-acetate	PENDING_REVIEW	CHEBI:30854	indole-3-acetate	PENDING	
Indolmycin.yaml	CHEBI:79394	Indolmycin	PENDING_REVIEW	CHEBI:79394	indolmycin	PENDING	
Indoxyl_Acetate.yaml	CHEBI:169991	Indoxyl Acetate	PENDING_REVIEW	CHEBI:169991	Indoxyl acetate	PENDING	
Iodide.yaml	CHEBI:16382	Iodide	PENDING_REVIEW	CHEBI:16382	iodide	PENDING	
Isepamicin.yaml	CHEBI:37951	Isepamicin	PENDING_REVIEW	CHEBI:37951	isepamicin	PENDING	
Isobutyrate.yaml	CHEBI:48944	Isobutyrate	PENDING_REVIEW	CHEBI:48944	isobutyrate	PENDING	
Isocaproate.yaml	CHEBI:74904	Isocaproate	PENDING_REVIEW	CHEBI:74904	isocaproate	PENDING	
Isoorientin.yaml	CHEBI:17965	Isoorientin	PENDING_REVIEW	CHEBI:17965	isoorientin	PENDING	
Isovalerate.yaml	CHEBI:48942	Isovalerate	PENDING_REVIEW	CHEBI:48942	isovalerate	PENDING	
Isovitexin.yaml	CHEBI:18330	Isovitexin	PENDING_REVIEW	CHEBI:18330	isovitexin	PENDING	
Kasugamycin.yaml	CHEBI:81419	Kasugamycin	PENDING_REVIEW	CHEBI:81419	kasugamycin	PENDING	
L-alaninamide.yaml	CHEBI:21217	L-alaninamide	PENDING_REVIEW	CHEBI:21217	L-alaninamide	PENDING	
L-fructose.yaml	CHEBI:28120	L-fructose	PENDING_REVIEW	CHEBI:28120	L-fructose	PENDING	
L-galactonate.yaml	CHEBI:53071	L-galactonate	PENDING_REVIEW	CHEBI:53071	L-galactonate	PENDING	
L-histidine_2-naphthylamide.yaml	CHEBI:90447	L-histidine 2-naphthylamide	PENDING_REVIEW	CHEBI:90447	L-histidine 2-naphthylamide	PENDING	
L-leucylglycine_2-naphthylamide.yaml	CHEBI:90741	L-leucylglycine 2-naphthylamide	PENDING_REVIEW	CHEBI:90741	L-leucylglycine 2-naphthylamide	PENDING	
L-lyxose.yaml	CHEBI:62320	L-lyxose	PENDING_REVIEW	CHEBI:62320	L-lyxose	PENDING	
L-norleucine.yaml	CHEBI:18347	L-norleucine	PENDING_REVIEW	CHEBI:18347	L-norleucine	PENDING	
L-proline_2-naphthylamide.yaml	CHEBI:90600	L-proline 2-naphthylamide	PENDING_REVIEW	CHEBI:90600	L-proline 2-naphthylamide	PENDING	
L-serine_2-naphthylamide.yaml	CHEBI:90603	L-serine 2-naphthylamide	PENDING_REVIEW	CHEBI:90603	L-serine 2-naphthylamide	PENDING	
L-tyrosine_2-naphthylamide.yaml	CHEBI:90607	L-tyrosine 2-naphthylamide	PENDING_REVIEW	CHEBI:90607	L-tyrosine 2-naphthylamide	PENDING	
Lactone.yaml	CHEBI:25000	Lactone	PENDING_REVIEW	CHEBI:25000	lactone	PENDING	
Lecithin.yaml	CHEBI:61995	Lecithin	PENDING_REVIEW	CHEBI:61995	lecithin	PENDING	
Leupeptin.yaml	CHEBI:6426	Leupeptin	PENDING_REVIEW	CHEBI:6426	leupeptin	PENDING	
Lignin.yaml	CHEBI:6457	Lignin	PENDING_REVIEW	CHEBI:6457	lignin	PENDING	
Lincomycin.yaml	CHEBI:6472	Lincomycin	PENDING_REVIEW	CHEBI:6472	lincomycin	PENDING	
Lomefloxacin.yaml	CHEBI:116278	Lomefloxacin	PENDING_REVIEW	CHEBI:116278	lomefloxacin	PENDING	
Lomofungin.yaml	CHEBI:224243	Lomofungin	PENDING_REVIEW	CHEBI:224243	Lomofungin	PENDING	
