identifier	file	preferred_term	category	query	match_type	ontology_id	ontology	ontology_label	matched_term	standard_label_needed	missing_exact_synonyms	confidence	recommended_action
UNMAPPED_0250	data/ingredients/unmapped/Bathocuproinedisulfonic_Acid_Disodium_Salt.yaml	Bathocuproinedisulfonic acid disodium salt	UNKNOWN	Bathocuproinedisulfonic acid disodium salt|Bathocuproinedisulfonic Acid Disodium Salt|BCSA	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0085	data/ingredients/unmapped/Beijerincks_Solution.yaml	Beijerinck's Solution	SIMPLE_CHEMICAL	Beijerinck's Solution|Beijerincks Solution	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0178	data/ingredients/unmapped/Benzimidazolyl_Cobamide.yaml	benzimidazolyl cobamide	UNKNOWN	benzimidazolyl cobamide|Benzimidazolyl Cobamide	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0338	data/ingredients/unmapped/Benzylcyanide.yaml	Benzylcyanide	UNKNOWN	Benzylcyanide	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0061	data/ingredients/unmapped/Bg-11_Medium.yaml	BG-11 Medium	COMPLEX_MIXTURE	BG-11 Medium|Bg-11 Medium	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0054	data/ingredients/unmapped/Bg-11_Trace_Metals_Solution.yaml	BG-11 Trace Metals Solution	COMPLEX_MIXTURE	BG-11 Trace Metals Solution|Bg-11 Trace Metals Solution	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0215	data/ingredients/unmapped/Bimuno.yaml	Bimuno	UNKNOWN	Bimuno	SYNONYM_EXACT	NCIT:C187267	ncit	Galacto-oligosaccharide Prebiotic Supplement	Bimuno	true	Galacto-oligosaccharide Prebiotic Supplement|Bimuno	medium	candidate_map_exact_synonym
UNMAPPED_0207	data/ingredients/unmapped/Bioecolians.yaml	Bioecolians	UNKNOWN	Bioecolians	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0600	data/ingredients/unmapped/Biotin_(Vitamin_B7).yaml	Biotin (Vitamin B7)	COMPLEX_MIXTURE	Biotin	LABEL_EXACT	CHEBI:15956	chebi	biotin	biotin	true	biotin|Biotin (Vitamin B7)	high	candidate_map_exact_label
UNMAPPED_0600	data/ingredients/unmapped/Biotin_(Vitamin_B7).yaml	Biotin (Vitamin B7)	COMPLEX_MIXTURE	Biotin	LABEL_EXACT	NCIT:C309	ncit	Biotin	Biotin	true	Biotin|Biotin (Vitamin B7)	high	candidate_map_exact_label
UNMAPPED_0600	data/ingredients/unmapped/Biotin_(Vitamin_B7).yaml	Biotin (Vitamin B7)	COMPLEX_MIXTURE	Biotin	LABEL_EXACT	mesh:D001710	mesh	Biotin	Biotin	true	Biotin|Biotin (Vitamin B7)	high	candidate_map_exact_label
UNMAPPED_0600	data/ingredients/unmapped/Biotin_(Vitamin_B7).yaml	Biotin (Vitamin B7)	COMPLEX_MIXTURE	Biotin	SYNONYM_EXACT	CHEBI:57586	chebi	biotinate	biotin	true	biotinate|biotin|Biotin (Vitamin B7)	medium	candidate_map_exact_synonym
UNMAPPED_0600	data/ingredients/unmapped/Biotin_(Vitamin_B7).yaml	Biotin (Vitamin B7)	COMPLEX_MIXTURE	Biotin	SYNONYM_EXACT	NCIT:C74902	ncit	Vitamin B7 Measurement	Biotin	true	Vitamin B7 Measurement|Biotin|Biotin (Vitamin B7)	medium	candidate_map_exact_synonym
UNMAPPED_0339	data/ingredients/unmapped/Blood_Agar_Base.yaml	Blood Agar Base	UNKNOWN	Blood Agar Base	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0340	data/ingredients/unmapped/Blood_Agar_No_2.yaml	Blood agar No 2	UNKNOWN	Blood agar No 2|Blood Agar No 2	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0051	data/ingredients/unmapped/Bold_1nv_Medium.yaml	Bold 1NV Medium	COMPLEX_MIXTURE	Bold 1NV Medium|Bold 1nv Medium	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0076	data/ingredients/unmapped/Bold_Trace_Stock.yaml	Bold Trace Stock	UNKNOWN	Bold Trace Stock	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0341	data/ingredients/unmapped/Bordet-Gengou-Agar-Base.yaml	Bordet-Gengou-Agar-Base	UNKNOWN	Bordet-Gengou-Agar-Base	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
UNMAPPED_0075	data/ingredients/unmapped/Boron_Stock.yaml	Boron Stock	UNKNOWN	Boron Stock	NO_EXACT_OLS_HIT							none	keep_unmapped_or_manual_review
