# source=ingredient_occurrences.tsv culturemech_rev=8c79a66fec edges=191616 recipes=15254 mim_records=800
mim_identifier	recipe_id	occurrences
CHEBI:131361	CultureMech:000913	1
CHEBI:131361	CultureMech:000914	1
CHEBI:131361	CultureMech:000915	1
CHEBI:131361	CultureMech:000917	1
CHEBI:131361	CultureMech:000941	1
CHEBI:131361	CultureMech:000944	1
CHEBI:131361	CultureMech:000952	1
CHEBI:131361	CultureMech:000954	1
CHEBI:131361	CultureMech:000957	1
CHEBI:131361	CultureMech:000976	1
CHEBI:131361	CultureMech:000985	1
CHEBI:131361	CultureMech:000996	1
CHEBI:131361	CultureMech:000997	1
CHEBI:131361	CultureMech:000998	1
CHEBI:131361	CultureMech:001000	1
CHEBI:131361	CultureMech:001001	1
CHEBI:131361	CultureMech:001002	1
CHEBI:131361	CultureMech:001003	1
CHEBI:131361	CultureMech:001004	1
CHEBI:131361	CultureMech:001012	1
CHEBI:131361	CultureMech:001015	1
CHEBI:131361	CultureMech:001016	1
CHEBI:131361	CultureMech:001040	1
CHEBI:131361	CultureMech:001041	1
CHEBI:131361	CultureMech:001042	1
CHEBI:131361	CultureMech:001043	1
CHEBI:131361	CultureMech:001047	1
CHEBI:131361	CultureMech:001048	1
CHEBI:131361	CultureMech:001050	1
CHEBI:131361	CultureMech:001051	1
CHEBI:131361	CultureMech:001053	1
CHEBI:131361	CultureMech:001059	1
CHEBI:131361	CultureMech:001061	1
CHEBI:131361	CultureMech:001074	1
CHEBI:131361	CultureMech:001075	1
CHEBI:131361	CultureMech:001076	1
CHEBI:131361	CultureMech:001077	1
CHEBI:131361	CultureMech:001079	1
CHEBI:131361	CultureMech:001097	1
CHEBI:131361	CultureMech:001100	1
CHEBI:131361	CultureMech:001112	1
CHEBI:131361	CultureMech:001119	1
CHEBI:131361	CultureMech:001120	1
CHEBI:131361	CultureMech:001130	1
CHEBI:131361	CultureMech:001132	1
CHEBI:131361	CultureMech:001142	1
CHEBI:131361	CultureMech:001144	1
CHEBI:131361	CultureMech:001145	1
CHEBI:131361	CultureMech:001158	1
CHEBI:131361	CultureMech:001164	1
CHEBI:131361	CultureMech:001169	1
CHEBI:131361	CultureMech:001172	1
CHEBI:131361	CultureMech:001179	1
CHEBI:131361	CultureMech:001181	1
CHEBI:131361	CultureMech:001186	1
CHEBI:131361	CultureMech:001195	1
CHEBI:131361	CultureMech:001196	1
CHEBI:131361	CultureMech:001198	1
CHEBI:131361	CultureMech:001200	1
CHEBI:131361	CultureMech:001209	1
CHEBI:131361	CultureMech:001220	1
CHEBI:131361	CultureMech:001263	1
CHEBI:131361	CultureMech:001265	1
CHEBI:131361	CultureMech:001268	1
CHEBI:131361	CultureMech:001276	1
CHEBI:131361	CultureMech:001278	1
CHEBI:131361	CultureMech:001285	1
CHEBI:131361	CultureMech:001286	1
CHEBI:131361	CultureMech:001287	1
CHEBI:131361	CultureMech:001288	1
CHEBI:131361	CultureMech:001289	1
CHEBI:131361	CultureMech:001290	1
CHEBI:131361	CultureMech:001291	1
CHEBI:131361	CultureMech:001292	1
CHEBI:131361	CultureMech:001293	1
CHEBI:131361	CultureMech:001294	1
CHEBI:131361	CultureMech:001296	1
CHEBI:131361	CultureMech:001301	1
CHEBI:131361	CultureMech:001302	1
CHEBI:131361	CultureMech:001305	1
CHEBI:131361	CultureMech:001306	1
CHEBI:131361	CultureMech:001308	1
CHEBI:131361	CultureMech:001309	1
CHEBI:131361	CultureMech:001310	1
CHEBI:131361	CultureMech:001311	1
CHEBI:131361	CultureMech:001336	1
CHEBI:131361	CultureMech:001352	1
CHEBI:131361	CultureMech:001371	1
CHEBI:131361	CultureMech:001376	1
CHEBI:131361	CultureMech:001378	1
CHEBI:131361	CultureMech:001379	1
CHEBI:131361	CultureMech:001380	1
CHEBI:131361	CultureMech:001381	1
CHEBI:131361	CultureMech:001382	1
CHEBI:131361	CultureMech:001384	1
CHEBI:131361	CultureMech:001385	1
CHEBI:131361	CultureMech:001391	1
CHEBI:131361	CultureMech:001392	1
CHEBI:131361	CultureMech:001393	1
CHEBI:131361	CultureMech:001395	1
CHEBI:131361	CultureMech:001410	1
CHEBI:131361	CultureMech:001411	1
CHEBI:131361	CultureMech:001412	1
CHEBI:131361	CultureMech:001414	1
CHEBI:131361	CultureMech:001415	1
CHEBI:131361	CultureMech:001416	1
CHEBI:131361	CultureMech:001417	1
CHEBI:131361	CultureMech:001418	1
CHEBI:131361	CultureMech:001419	1
CHEBI:131361	CultureMech:001420	1
CHEBI:131361	CultureMech:001423	1
CHEBI:131361	CultureMech:001424	1
CHEBI:131361	CultureMech:001430	1
CHEBI:131361	CultureMech:001433	1
CHEBI:131361	CultureMech:001434	1
CHEBI:131361	CultureMech:001442	1
CHEBI:131361	CultureMech:001443	1
CHEBI:131361	CultureMech:001444	1
CHEBI:131361	CultureMech:001451	1
CHEBI:131361	CultureMech:001475	1
CHEBI:131361	CultureMech:001478	1
CHEBI:131361	CultureMech:001479	1
CHEBI:131361	CultureMech:001480	1
CHEBI:131361	CultureMech:001484	1
CHEBI:131361	CultureMech:001485	1
CHEBI:131361	CultureMech:001489	1
CHEBI:131361	CultureMech:001490	1
CHEBI:131361	CultureMech:001491	1
CHEBI:131361	CultureMech:001492	1
CHEBI:131361	CultureMech:001493	1
CHEBI:131361	CultureMech:001494	1
CHEBI:131361	CultureMech:001498	1
CHEBI:131361	CultureMech:001505	1
CHEBI:131361	CultureMech:001506	1
CHEBI:131361	CultureMech:001508	1
CHEBI:131361	CultureMech:001509	1
CHEBI:131361	CultureMech:001514	1
CHEBI:131361	CultureMech:001517	1
CHEBI:131361	CultureMech:001521	1
CHEBI:131361	CultureMech:001524	1
CHEBI:131361	CultureMech:001539	1
CHEBI:131361	CultureMech:001540	1
CHEBI:131361	CultureMech:001564	1
CHEBI:131361	CultureMech:001593	1
CHEBI:131361	CultureMech:001604	1
CHEBI:131361	CultureMech:001610	1
CHEBI:131361	CultureMech:001612	1
CHEBI:131361	CultureMech:001615	1
CHEBI:131361	CultureMech:001618	1
CHEBI:131361	CultureMech:001619	1
CHEBI:131361	CultureMech:001621	1
CHEBI:131361	CultureMech:001622	1
CHEBI:131361	CultureMech:001623	1
CHEBI:131361	CultureMech:001624	1
CHEBI:131361	CultureMech:001625	1
CHEBI:131361	CultureMech:001626	1
CHEBI:131361	CultureMech:001628	1
CHEBI:131361	CultureMech:001631	1
CHEBI:131361	CultureMech:001632	1
CHEBI:131361	CultureMech:001633	1
CHEBI:131361	CultureMech:001634	1
CHEBI:131361	CultureMech:001636	1
CHEBI:131361	CultureMech:001637	1
CHEBI:131361	CultureMech:001638	1
