subject_id	subject_label	object_id	object_label	new_candidates	ingredient_yaml	review_status	missing_candidates_after_review	review_notes
MIM:Alk_So42_X_12_H2o	AlK(SO4)2 x 12 H2O	CHEBI:86465	potassium aluminium sulfate dodecahydrate	KAl(SO4)2 . 12H2O|KAl(SO4)2 x 12 H2O|KAl(SO4)2·12H2O|KAl(SO4)2・12H2O|AlK(SO4)2 12H2O	data/ingredients/mapped/Alk_So42_X_12_H2o.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Alpha-Toxicarol_~28Dl~29	Alpha-Toxicarol (Dl)	CHEBI:9643	Toxicarol	Alpha-Toxicarol (Dl)	data/ingredients/mapped/Alpha-Toxicarol_(Dl).yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Alpha-d-glucose	alpha-D-Glucose	CHEBI:17925	alpha-D-glucose	(not required but growth enhancing)	data/ingredients/mapped/Alpha-d-glucose.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Amikacin_Disulfate_Salt	Amikacin disulfate salt	CHEBI:2638	amikacin disulfate	Amikacin disulfate salt	data/ingredients/mapped/Amikacin_Disulfate_Salt.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Ammonium_Chloride_~28nitrogen_Source~29	Ammonium chloride (nitrogen source)	CHEBI:31206	ammonium chloride	Ammonium chloride (nitrogen source)	data/ingredients/mapped/Ammonium_Chloride_(nitrogen_Source).yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Ammonium_Molybdate_Tetrahydrate	ammonium molybdate tetrahydrate	CHEBI:91249	ammonium molybdate	ammonium molybdate tetrahydrate	data/ingredients/mapped/Ammonium_Molybdate_Tetrahydrate.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Ampicillin_Sodium_Salt	Ampicillin sodium salt	CHEBI:34535	ampicillin sodium	Ampicillin sodium salt	data/ingredients/mapped/Ampicillin_Sodium_Salt.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Amylopectin_From_Maize	amylopectin from maize	CHEBI:28057	amylopectin	amylopectin from maize	data/ingredients/mapped/Amylopectin_From_Maize.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Amylose_From_Potato	Amylose from potato	CHEBI:28102	amylose	Amylose from potato	data/ingredients/mapped/Amylose_From_Potato.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
MIM:Angustmycin	Angustmycin	CHEBI:8612	psicofuranin	Angustmycin	data/ingredients/mapped/Angustmycin.yaml	ALREADY_REPRESENTED		All proposed candidate text is already represented by preferred_term or synonyms.
