old_curie	current_curie	first_seen	retired_at	chain_length
MIM:TYG_salts_solution	MIM:TYG_Salts_Solution	2026-08-21	2026-08-21	2
MIM:Tetrakis~28hydroxymethyl~29phosphonium_Sulfate	MIM:Tetrakis_Hydroxymethylphosphonium_Sulfate	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Thallium~28I~29_Acetate	MIM:Thallium_I_Acetate	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Thauers_vitamin_mix	MIM:Thauers_Vitamin_Mix	2026-08-21	2026-08-21	2
MIM:Thauers_vitamin_mix_no_Biotin	MIM:Thauers_Vitamin_Mix_No_Biotin	2026-08-21	2026-08-21	2
MIM:Thiamine_Pyrophosphate	MIM:Thiamine_pyrophosphate	2026-08-13T12:25:35-07:00	2026-08-21	2
MIM:Titanium~28III~29_Citrate	MIM:Titanium_Iii_Citrate	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Trace_metal_solution	MIM:Trace_Metal_Solution	2026-08-21	2026-08-21	2
MIM:Trace_mineral_solution	MIM:Trace_Mineral_Solution	2026-08-21	2026-08-21	2
MIM:Trace_minerals	MIM:Trace_Minerals	2026-08-21	2026-08-21	2
MIM:Tryptone_Soya_Broth_~28Oxoid~29	MIM:Tryptone_Soya_Broth_Oxoid	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Tryptoneyeastbeef_(tyb)	MIM:Tryptoneyeastbeef_~28tyb~29	2026-08-21	2026-08-21	2
MIM:UW_concentrated_base	MIM:UW_Concentrated_Base	2026-08-21	2026-08-21	2
MIM:UW_concentrated_base_no_Mo	MIM:UW_Concentrated_Base_No_Mo	2026-08-21	2026-08-21	2
MIM:UW_concentrated_base_no_sulfur	MIM:UW_Concentrated_Base_No_Sulfur	2026-08-21	2026-08-21	2
MIM:Vitamin_Solution_~28thermophilic_Formulation~29	MIM:Vitamin_Solution_Thermophilic_Formulation	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Vitamins_solution	MIM:Vitamins_Solution	2026-08-21	2026-08-21	2
MIM:Wolfes_mineral_mix	MIM:Wolfes_Mineral_Mix	2026-08-21	2026-08-21	2
MIM:Wolfes_mineral_mix_minus_Nitrilotriacetic_acid	MIM:Wolfes_Mineral_Mix_minus_Nitrilotriacetic_acid	2026-08-21	2026-08-21	2
MIM:Wolfes_vitamin_mix	MIM:Wolfes_Vitamin_Mix	2026-08-21	2026-08-21	2
MIM:Xyloglucan_~28heptaoctanona_Saccharides~29	MIM:Xyloglucan_Heptaoctanona_Saccharides	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:Yacontrol_~28Yacon_Root_Syrup~29	MIM:Yacontrol_Yacon_Root_Syrup	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:m_Inositol	MIM:M-inositol	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:n_Acetyl_glutamine	MIM:N-acetyl-glutamine	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:n_Acetyl_lysine	MIM:N-acetyl-lysine	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:n_Acetyl_muramic_acid	MIM:N-acetyl-muramic_Acid	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:sn_glycero_3_phosphocholine	MIM:Sn-glycero-3-phosphocholine	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:~28-~29-Epigallocatechin_Gallate	MIM:Epigallocatechin_Gallate	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:~28-~29-Epinephrine	MIM:Epinephrine	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:~28-~29-Norepinephrine	MIM:Norepinephrine	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:~28-~29-Verapamil_Hydrochloride	MIM:Verapamil_Hydrochloride	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:~28-~29-alpha-bisabolol	MIM:Alpha-bisabolol	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:~285z~29-4-bromo-5-~28bromomethylene~29-2~285h~29-furanone	MIM:5z-4-bromo-5-_Bromomethylene-2_5h-furanone	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:~28R~29-3-hydroxybutyrate	MIM:R-3-hydroxybutyrate	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:~28S~29-3-hydroxybutyrate	MIM:S-3-hydroxybutyrate	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
MIM:~28~29-Arabinogalactan	MIM:Arabinogalactan	2026-05-30T12:27:53-07:00	2026-05-30T12:27:53-07:00	2
