identifier,ontology_id,preferred_term,mapping_status,ontology_label,ontology_source,mapping_quality,total_occurrences,media_count,synonyms
CHEBI:30915,CHEBI:30915,alpha-ketoglutaric acid,MAPPED,2-oxoglutaric acid,CHEBI,EXACT_MATCH,7,7,2-Ketoglutaric acid|2-oxoglutaric acid|2-oxopentanedioic acid|Oxoglutaric acid|a-Ketoglutaric acid|alpha-ketoglutamate|alpha-ketoglutaric acid (100 mM).
CHEBI:74772,CHEBI:74772,Aluminium sulfate,MAPPED,aluminium sulfate,CHEBI,EXACT_MATCH,1,1,
cas:10124-27-3,NCIT:C83530,Aluminum chloride hydrate,MAPPED,Aluminum Chloride,NCIT,NARROW_MATCH,28,28,
CHEBI:2638,CHEBI:2638,Amikacin disulfate salt,MAPPED,amikacin disulfate,CHEBI,CAS_RN_LOOKUP,0,0,"(2S)-4-amino-N-[(1R,2S,3S,4R,5S)-5-amino-2-(3-amino-3-deoxy-alpha-D-glucopyranosyloxy)-4-(6-amino-6-deoxy-alpha-D-glucopyranosyloxy)-3-hydroxycyclohexyl]-2-hydroxybutanamide disulfate"
CHEBI:62947,CHEBI:62947,Ammonium acetate,MAPPED,ammonium acetate,CHEBI,EXACT_MATCH,67,67,"AcONH4|CH3CO2NH4|CH3COONH4|E 264|E-264|E264|INS No. 264|NH4OAc|acetic acid, ammonium salt|ammonium ethanoate|azanium acetate"
CHEBI:31206,CHEBI:31206,Ammonium chloride (nitrogen source),REJECTED,ammonium chloride,CHEBI,EXACT_MATCH,0,0,
cas:12054-85-2,CHEBI:91249,ammonium molybdate tetrahydrate,MAPPED,ammonium molybdate,CHEBI,CLOSE_MATCH,12,12,bisammonium dioxido(dioxo)molybdenum
CHEBI:156543,CHEBI:156543,ammonium persulfate,MAPPED,ammonium persulfate,CHEBI,EXACT_MATCH,0,0,diammonium [(sulfonatoperoxy)sulfonyl]oxidanide
CHEBI:81950,CHEBI:81950,Ammonium Sulfamate,MAPPED,Ammonium sulfamate,CHEBI,EXACT_MATCH,0,0,
cas:12135-76-1,mesh:C027711,ammonium sulfide solution,MAPPED,ammonium sulfide,MESH,NARROW_MATCH,0,0,
cas:7783-11-1,mesh:C048169,Ammonium sulfite monohydrate,MAPPED,ammonium sulfite,MESH,NARROW_MATCH,0,0,
CHEBI:2676,CHEBI:2676,Amoxicillin,MAPPED,amoxicillin,CHEBI,EXACT_MATCH,0,0,"6beta-[(2R)-2-amino-2-(4-hydroxyphenyl)acetamido]-2,2-dimethylpenam-3alpha-carboxylic acid"
mesh:C041989,mesh:C041989,Amphotericin A,MAPPED,amphotericin A,MESH,EXACT_MATCH,0,0,
CHEBI:2682,CHEBI:2682,Amphotericin B,MAPPED,amphotericin B,CHEBI,EXACT_MATCH,4,4,"(1R,3S,5R,6R,9R,11R,15S,16R,17R,18S,19E,21E,23E,25E,27E,29E,31E,33R,35S,36R,37S)-33-[(3-amino-3,6-dideoxy-beta-D-mannopyranosyl)oxy]-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-14,39-dioxabicyclo[33.3.1]nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid|AMPH-B|Amphotericine B|Liposomal Amphotericin B|amfotericina B|amphotericinum B|Amphotericin B (5 mg/ml DMSO)"
CHEBI:28971,CHEBI:28971,Ampicillin,MAPPED,ampicillin,CHEBI,EXACT_MATCH,23,23,"(2S,5R,6R)-6-{[(2R)-2-AMINO-2-PHENYLETHANOYL]AMINO}-3,3-DIMETHYL-7-OXO-4-THIA-1-AZABICYCLO[3.2.0]HEPTANE-2-CARBOXYLIC ACID|(2S,5R,6R)-6-{[(2R)-2-amino-2-phenylacetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|(2S,6R)-6-{[(2R)-2-amino-2-phenylethanoyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|6-(D-(2-amino-2-phenylacetamido))-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid|6beta-[(2R)-2-amino-2-phenylacetamido]-2,2-dimethylpenam-3alpha-carboxylic acid|ABPC|D-(-)-6-(alpha-aminophenylacetamido)penicillanic acid|D-(-)-ampicillin|aminobenzylpenicillin|ampicilina|ampicillin acid|ampicilline|ampicillinum|Ampicillin (50 mg/ml)"
CHEBI:34535,CHEBI:34535,Ampicillin sodium salt,REJECTED,ampicillin sodium,CHEBI,LEXICAL_MATCH,0,0,"sodium 6beta-[(2R)-2-amino-2-phenylacetamido]-2,2-dimethylpenam-3alpha-carboxylate"
kgmicrobe.ingredient:amylopectin_from_maize,CHEBI:28057,amylopectin from maize,MAPPED,amylopectin,CHEBI,NARROW_MATCH,0,0,
