identifier,ontology_id,preferred_term,mapping_status,ontology_label,ontology_source,mapping_quality,total_occurrences,media_count
cas:13224-94-7,cas:13224-94-7,3-O-Methyl-D-glucopyranose,MAPPED,3-O-Methyl-D-glucopyranose,CAS,FALLBACK_REGISTRY,0,0
CHEBI:73918,CHEBI:73918,3-O-methyl-glucose,MAPPED,3-O-methyl-D-glucose,CHEBI,EXACT_MATCH,0,0
CHEBI:28647,CHEBI:28647,3-O-methylgallate,MAPPED,3-O-methylgallic acid,CHEBI,EXACT_MATCH,0,0
cas:636-73-7,cas:636-73-7,3-Pyridinesulfonic acid,MAPPED,3-Pyridinesulfonic acid,CAS,FALLBACK_REGISTRY,0,0
CHEBI:166501,CHEBI:166501,3-acetylpyridine,MAPPED,3-Acetylpyridine,CHEBI,EXACT_MATCH,0,0
CHEBI:30761,CHEBI:30761,3-aminobenzoate,MAPPED,3-aminobenzoate,CHEBI,EXACT_MATCH,0,0
CHEBI:37081,CHEBI:37081,3-aminobutyric acid,MAPPED,3-aminobutanoic acid,CHEBI,EXACT_MATCH,0,0
cas:41312-47-4,CHEBI:90065,3'-fucosyllactose,MAPPED,3-fucosyllactose,CHEBI,NARROW_MATCH,0,0
CHEBI:30764,CHEBI:30764,3-Hydroxybenzoic acid,MAPPED,3-hydroxybenzoic acid,CHEBI,EXACT_MATCH,4,4
CHEBI:20067,CHEBI:20067,3-hydroxybutyric acid,MAPPED,3-hydroxybutyric acid,CHEBI,EXACT_MATCH,0,0
CHEBI:16411,CHEBI:16411,3-Indolyl acetic acid,MAPPED,indole-3-acetic acid,CHEBI,EXACT_MATCH,3,3
CHEBI:15837,CHEBI:15837,3-methyl-1-butanol,MAPPED,isoamylol,CHEBI,EXACT_MATCH,0,0
CHEBI:16019,CHEBI:16019,3-methyl-2-butenol,MAPPED,prenol,CHEBI,EXACT_MATCH,0,0
CHEBI:35932,CHEBI:35932,3-methyl-2-oxopentanoic acid,MAPPED,3-methyl-2-oxovaleric acid,CHEBI,EXACT_MATCH,0,0
CHEBI:62898,CHEBI:62898,3-methyl-3-butenol,MAPPED,isopentenyl alcohol,CHEBI,EXACT_MATCH,0,0
CHEBI:80946,CHEBI:80946,3-octanone,MAPPED,3-octanone,CHEBI,EXACT_MATCH,0,0
cas:128596-80-5,CHEBI:26714,3'-sialyllactose sodium salt,MAPPED,sodium salt,CHEBI,NARROW_MATCH,0,0
cas:14919-49-4,mesh:C559991,"3,4'-Dihydroxyflavone",MAPPED,"3,4'-dihydroxyflavone",MESH,NARROW_MATCH,0,0
CHEBI:232299,CHEBI:232299,"3,4'-Dimethoxyflavone",MAPPED,"3',4'-dimethoxyflavone",CHEBI,EXACT_MATCH,0,0
CHEBI:53648,CHEBI:53648,"3,5-Dinitrosalicylic acid",MAPPED,"3,5-dinitrosalicylic acid",CHEBI,EXACT_MATCH,0,0
cas:71592-46-6,CHEBI:107657,"3',6-Dihydroxyflavone",MAPPED,6-methoxy-2-(3-methoxyphenyl)-1-benzopyran-4-one,CHEBI,NARROW_MATCH,0,0
CHEBI:44115,CHEBI:44115,3-(N-morpholino)propanesulfonic acid,MAPPED,3-(N-morpholino)propanesulfonic acid,CHEBI,CAS_RN_LOOKUP,52,52
CHEBI:86582,CHEBI:86582,4-Acetoxy-3-methoxycinnamic acid,MAPPED,O-acetylferulic acid,CHEBI,EXACT_MATCH,0,0
CHEBI:28235,CHEBI:28235,4-Anisaldehyde,MAPPED,p-methoxybenzaldehyde,CHEBI,EXACT_MATCH,0,0
CHEBI:65083,CHEBI:65083,4-Deoxypyridoxine,MAPPED,4-deoxypyridoxine,CHEBI,EXACT_MATCH,0,0
CHEBI:28032,CHEBI:28032,4-Hydroxyacetophenone,MAPPED,4'-hydroxyacetophenone,CHEBI,EXACT_MATCH,0,0
CHEBI:17597,CHEBI:17597,4-Hydroxybenzaldehyde,MAPPED,4-hydroxybenzaldehyde,CHEBI,EXACT_MATCH,0,0
cas:184901-84-6,CHEBI:16388,4-Hydroxymandelic acid monohydrate,MAPPED,4-hydroxymandelic acid,CHEBI,NARROW_MATCH,0,0
CHEBI:165411,CHEBI:165411,4-Hydroxynonanoic acid,MAPPED,4-Hydroxypelargonic acid,CHEBI,EXACT_MATCH,0,0
CHEBI:142593,CHEBI:142593,4-Hydroxynonenal,MAPPED,4-hydroxynonenal,CHEBI,EXACT_MATCH,0,0
CHEBI:32980,CHEBI:32980,4-Hydroxyphenylpropionic acid,MAPPED,phloretic acid,CHEBI,EXACT_MATCH,0,0
cas:4143-74-2,CHEBI:114194,4'-Methoxyflavone,MAPPED,2-(4-methoxyphenyl)-1-benzopyran-4-one,CHEBI,NARROW_MATCH,0,0
cas:4502-00-5,CHEBI:48430,4-Methyl-2-oxopentanoic acid sodium salt,MAPPED,4-methyl-2-oxopentanoic acid,CHEBI,NARROW_MATCH,0,0
CHEBI:48430,CHEBI:48430,4-Methyl-2-oxovaleric acid,MAPPED,4-methyl-2-oxopentanoic acid,CHEBI,EXACT_MATCH,0,0
CHEBI:40035,CHEBI:40035,4-Methylimidazole,MAPPED,4-methylimidazole,CHEBI,EXACT_MATCH,0,0
CHEBI:17405,CHEBI:17405,4-Pyridoxic acid,MAPPED,4-pyridoxic acid,CHEBI,EXACT_MATCH,0,0
CHEBI:31128,CHEBI:31128,4-acetoxyphenol,MAPPED,4-hydroxyphenyl acetate,CHEBI,EXACT_MATCH,0,0
CHEBI:17836,CHEBI:17836,4-Aminobenzoate,MAPPED,4-aminobenzoate,CHEBI,EXACT_MATCH,132,93
CHEBI:228211,CHEBI:228211,4-azido-L-phenylalanine,MAPPED,4-azido-L-phenylalanine,CHEBI,EXACT_MATCH,0,0
CHEBI:44718,CHEBI:44718,4-benzoyl-L-phenylalanine,MAPPED,4-benzoyl-L-phenylalanine,CHEBI,EXACT_MATCH,0,0
CHEBI:30763,CHEBI:30763,4-Hydroxybenzoic acid,MAPPED,4-hydroxybenzoic acid,CHEBI,EXACT_MATCH,2,2
CHEBI:30830,CHEBI:30830,4-hydroxybutyric acid,MAPPED,4-hydroxybutyric acid,CHEBI,EXACT_MATCH,0,0
CHEBI:34423,CHEBI:34423,4-hydroxychalcone,MAPPED,4-hydroxychalcone,CHEBI,EXACT_MATCH,0,0
CHEBI:18101,CHEBI:18101,4-Hydroxyphenyl acetic acid,MAPPED,4-hydroxyphenylacetic acid,CHEBI,EXACT_MATCH,3,3
CHEBI:355715,CHEBI:355715,4-nitrophenyl beta-D-galactopyranoside,MAPPED,4-nitrophenyl-beta-D-galactoside,CHEBI,EXACT_MATCH,0,0
CHEBI:1883,CHEBI:1883,4-vinylphenol,MAPPED,4-hydroxystyrene,CHEBI,EXACT_MATCH,0,0
CHEBI:15728,CHEBI:15728,4-Guanidinobutyric acid,MAPPED,4-guanidinobutanoic acid,CHEBI,CAS_RN_LOOKUP,4,4
cas:21010-06-0,cas:21010-06-0,5-(2-thienyl)-pentanoic acid,MAPPED,5-(2-thienyl)-pentanoic acid,CAS,FALLBACK_REGISTRY,0,0
CHEBI:17549,CHEBI:17549,5-Aminolevulinic acid,MAPPED,5-aminolevulinic acid,CHEBI,EXACT_MATCH,0,0
CHEBI:2038,CHEBI:2038,5-Azacytidine,MAPPED,5-azacytidine,CHEBI,EXACT_MATCH,0,0
CHEBI:17509,CHEBI:17509,5'-Deoxy-5'-(methylthio)adenosine,MAPPED,5'-S-methyl-5'-thioadenosine,CHEBI,EXACT_MATCH,0,0
CHEBI:80627,CHEBI:80627,5'-Deoxy-5-fluorocytidine,MAPPED,5'-Deoxy-5-fluorocytidine,CHEBI,EXACT_MATCH,0,0
CHEBI:80624,CHEBI:80624,"5-Fluorodihydropyrimidine-2,4-dione",MAPPED,"5,6-Dihydro-5-fluorouracil",CHEBI,EXACT_MATCH,0,0
cas:207291-81-4,CHEBI:74498,5-Fluoroorotic acid hydrate,MAPPED,5-fluoroorotic acid,CHEBI,NARROW_MATCH,0,0
CHEBI:195418,CHEBI:195418,5-Hydroxydodecanoate,MAPPED,5-hydroxylaurate,CHEBI,EXACT_MATCH,0,0
CHEBI:412516,CHEBI:412516,5-Hydroxymethylfurfural,MAPPED,5-hydroxymethylfurfural,CHEBI,EXACT_MATCH,0,0
CHEBI:180039,CHEBI:180039,5-Hydroxyoctanoate,MAPPED,5-hydroxy-octanoic acid,CHEBI,EXACT_MATCH,0,0
cas:91446-96-7,CHEBI:26218,5-Keto-D-Gluconic Acid potassium salt,MAPPED,potassium salt,CHEBI,NARROW_MATCH,0,0
CHEBI:15887,CHEBI:15887,5-Aminovaleric acid,MAPPED,5-aminopentanoic acid,CHEBI,EXACT_MATCH,3,3
CHEBI:46345,CHEBI:46345,5-fluorouracil,MAPPED,5-fluorouracil,CHEBI,EXACT_MATCH,0,0
mesh:C014480,mesh:C014480,"5,6-dihydro-5-azathymidine",MAPPED,"5,6-dihydro-5-azathymidine",MESH,EXACT_MATCH,0,0
cas:1162-82-9,cas:1162-82-9,"5,7,4'-Trimethoxyisoflavone",MAPPED,"5,7,4'-Trimethoxyisoflavone",CAS,FALLBACK_REGISTRY,0,0
CHEBI:45996,CHEBI:45996,5-methyluridine,MAPPED,ribothymidine,CHEBI,CAS_RN_LOOKUP,10,10
CHEBI:34472,CHEBI:34472,6-Hydroxyflavone,MAPPED,6-Hydroxyflavone,CHEBI,EXACT_MATCH,0,0
CHEBI:17901,CHEBI:17901,6-O-Acetyl-D-glucose,MAPPED,6-O-acetyl-D-glucose,CHEBI,EXACT_MATCH,0,0
cas:157574-76-0,CHEBI:26714,6'-O-sialyllactose sodium salt,MAPPED,sodium salt,CHEBI,NARROW_MATCH,0,0
cas:27593-23-3,CHEBI:66729,6-Pentyl-2H-pyran-2-one,MAPPED,6-n-Pentyl-alpha-pyrone,CHEBI,NARROW_MATCH,0,0
CHEBI:16168,CHEBI:16168,6-hydroxypyridine-3-carboxylic acid,MAPPED,6-hydroxynicotinic acid,CHEBI,EXACT_MATCH,0,0
CHEBI:173101,CHEBI:173101,6-methoxy-2(3H)-benzoxazolone,MAPPED,Coixol,CHEBI,EXACT_MATCH,0,0
mesh:C052093,mesh:C052093,7-Hydro-8-methylpteroylglutamylglutamic acid,MAPPED,7-hydro-8-methylpteroylglutamylglutamic acid,MESH,EXACT_MATCH,0,0
CHEBI:2268,CHEBI:2268,7-hydroxyflavone,MAPPED,7-hydroxyflavone,CHEBI,EXACT_MATCH,0,0
cas:77298-66-9,CHEBI:94071,"7,2'-Dihydroxyflavone",MAPPED,7-hydroxy-2-(2-hydroxyphenyl)-1-benzopyran-4-one,CHEBI,NARROW_MATCH,0,0
CHEBI:67121,CHEBI:67121,8-hydroxy-nitroquinoline,MAPPED,nitroxoline,CHEBI,EXACT_MATCH,0,0
CHEBI:40585,CHEBI:40585,a-Cyclodextrin,MAPPED,alpha-cyclodextrin,CHEBI,EXACT_MATCH,0,0
cas:305-72-6,cas:305-72-6,a-Ketoglutaric acid disodium salt hydrate,MAPPED,a-Ketoglutaric acid disodium salt hydrate,CAS,FALLBACK_REGISTRY,13,13
cas:853-68-9,cas:853-68-9,AQDS,MAPPED,AQDS,CAS,FALLBACK_REGISTRY,0,0
CHEBI:28987,CHEBI:28987,Abietic Acid,MAPPED,abietic acid,CHEBI,EXACT_MATCH,0,0
CHEBI:2365,CHEBI:2365,Abscisic acid,MAPPED,(+)-abscisic acid,CHEBI,EXACT_MATCH,0,0
kgmicrobe.compound:aburamycin_a,kgmicrobe.compound:aburamycin_a,Aburamycin A,MAPPED,Aburamycin A,kgmicrobe.compound,PLACEHOLDER,0,0
kgmicrobe.compound:abyssomicin_b,kgmicrobe.compound:abyssomicin_b,Abyssomicin B,MAPPED,Abyssomicin B,kgmicrobe.compound,PLACEHOLDER,0,0
mesh:C512805,mesh:C512805,Abyssomicin D,MAPPED,abyssomicin D,MESH,EXACT_MATCH,0,0
kgmicrobe.compound:abyssomicin_g,kgmicrobe.compound:abyssomicin_g,Abyssomicin G,MAPPED,Abyssomicin G,kgmicrobe.compound,PLACEHOLDER,0,0
kgmicrobe.compound:abyssomicin_h,kgmicrobe.compound:abyssomicin_h,Abyssomicin H,MAPPED,Abyssomicin H,kgmicrobe.compound,PLACEHOLDER,0,0
CHEBI:15335,CHEBI:15335,Acacetin,MAPPED,"5,7-dihydroxy-4'-methoxyflavone",CHEBI,EXACT_MATCH,0,0
CHEBI:39061,CHEBI:39061,ACES,MAPPED,ACES,CHEBI,EXACT_MATCH,8,8
CHEBI:15343,CHEBI:15343,acetaldehyde,MAPPED,acetaldehyde,CHEBI,EXACT_MATCH,0,0
CHEBI:30089,CHEBI:30089,Acetate,MAPPED,acetate,CHEBI,EXACT_MATCH,44,44
CHEBI:30089,CHEBI:30089,Acetate (carbon source),MAPPED,acetate,CHEBI,EXACT_MATCH,0,0
CHEBI:15366,CHEBI:15366,Acetic acid,MAPPED,acetic acid,CHEBI,EXACT_MATCH,36,36
CHEBI:15347,CHEBI:15347,acetone,MAPPED,acetone,CHEBI,EXACT_MATCH,0,0
CHEBI:2404,CHEBI:2404,Acetosyringone,MAPPED,acetosyringone,CHEBI,EXACT_MATCH,0,0
CHEBI:2781,CHEBI:2781,Acetovanillone,MAPPED,apocynin,CHEBI,EXACT_MATCH,0,0
CHEBI:134431,CHEBI:134431,Acetylated xylan,MAPPED,acetyl xylan,CHEBI,EXACT_MATCH,0,0
kgmicrobe.compound:achromoviromycin,kgmicrobe.compound:achromoviromycin,Achromoviromycin,MAPPED,Achromoviromycin,kgmicrobe.compound,PLACEHOLDER,0,0
CHEBI:51739,CHEBI:51739,Acridine orange,MAPPED,acridine orange,CHEBI,EXACT_MATCH,0,0
cas:8048-52-0,NCIT:C76253,Acriflavine,MAPPED,Acriflavine,NCIT,NARROW_MATCH,0,0
CHEBI:70241,CHEBI:70241,Actein,MAPPED,Actein,CHEBI,EXACT_MATCH,0,0
kgmicrobe.compound:actinohivin,kgmicrobe.compound:actinohivin,Actinohivin,MAPPED,Actinohivin,kgmicrobe.compound,PLACEHOLDER,0,0
kgmicrobe.compound:actinomycetin,kgmicrobe.compound:actinomycetin,Actinomycetin,MAPPED,Actinomycetin,kgmicrobe.compound,PLACEHOLDER,0,0
kgmicrobe.compound:actinomycin_a,CHEBI:15369,Actinomycin A,MAPPED,actinomycin,CHEBI,NARROW_MATCH,0,0
