source_record	record_sha256	identifier	preferred_term	mapping_status	disposition	basis
data/ingredients/mapped/2-naphthyl_Dihydrogen_Phosphate.yaml	a87575e1ee19bf00c13f5d0e48d3f7a1a37169bbfd2d738408385f4b5d2bf5ce	CHEBI:91043	2-naphthyl Dihydrogen Phosphate	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-naphthyl_Tetradecanoate.yaml	137875d4d9dfaf1551a4d0587097d1f0c14677e535900830ffe62ca8ba456946	CHEBI:90249	2-naphthyl Tetradecanoate	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-oxobutanoate.yaml	d650202503056a38aa8f9534fa0accb62192b0f1326d18d223669721ec5778f9	CHEBI:16763	2-oxobutanoate	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-oxobutyric_Acid_Sodium_Salt.yaml	29c226a36ff7126b5b2e97a0c1837dbb4c92c4cc209603765a3a9a66b057485b	cas:2013-26-5	2-oxobutyric acid sodium salt	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-oxopentanoate.yaml	f89b0fe8d5d869d3b8ce53ce5ec875dea8267688431b44bc39e11f7058c73d6b	CHEBI:28644	2-oxopentanoate	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-pentyl-furan.yaml	94cb2ba4c189241c647220a604de8dbfb14e6a361ba5e90fd02061330743aaba	CHEBI:89197	2-pentyl-furan	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2-propanolCO2.yaml	52db62c6fe5e368ab51b4c9ea0ff6fa0053ab937dee49cf9965eedb3ee8e1dbe	kgmicrobe.ingredient:2_propanol_co2	2-propanol+CO2	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/2-undecanol.yaml	7bbbfd56f879bcd7877850017a9a12309e0b437a8d79a21158a6436d46975bf1	CHEBI:77930	2-undecanol	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/20AA_mix.yaml	a96a0f5565fdace2f151b345f8809f4375ce8c9d43c9e9b5ed8773a6ac939faa	kgmicrobe.ingredient:20aa_mix	20AA_mix	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/22-Dipyridyl.yaml	af2ba12ce31a657f021bf003b3e8ca61851e2f458b38885b084b0df4b7af3fed	CHEBI:30351	2,2'-Dipyridyl	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/22-dibromo-2-cyanoacetamide.yaml	deb462390df49e8c5d1a9d14496be7769fdd3ca4d5805ebbc31d947249d6ea8d	cas:10222-01-2	2,2-dibromo-2-cyanoacetamide	MAPPED	pass_with_minor_issues	../records.tsv (byte-identical source)
data/ingredients/mapped/2244688-heptamethylnonane.yaml	d053593ecc2cd59052f7e8aad88c3f4e1d1b28817ad5dd8f5da3e80bf17f4aa1	CHEBI:131383	2,2,4,4,6,8,8-Heptamethylnonane	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/23-butanediol.yaml	476b395efe0252e40793bfb62b9ac213f6892b7fe7957b2dbba6359cccd88b08	CHEBI:62064	2,3-butanediol	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/23-dihydroxybenzoic_Acid.yaml	a9833424856648828345709109550cf6be56264e00acd352a19ad620dc29a401	CHEBI:18026	2,3-dihydroxybenzoic acid	MAPPED	needs_curation	../records.tsv (byte-identical source)
data/ingredients/mapped/235-Triphenyltetrazolium_Chloride.yaml	e2e49590efc40f1fc35fac9bac181d270ac48fc91c3dc3bdebde72904eebc7ae	CHEBI:78019	2,3,5-Triphenyltetrazolium chloride	MAPPED	needs_curation	../records.tsv (byte-identical source)
