placeholder_curie	category	label	source_columns	occurrences
kgmicrobe.trait:gentamicin	biolink:PhenotypicQuality	gentamicin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	638
kgmicrobe.trait:saline	biolink:PhenotypicQuality	#Saline	BacDive_Isolation_category_2	638
kgmicrobe.trait:0_2	biolink:PhenotypicQuality	0-2	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	633
kgmicrobe.trait:alanine	biolink:PhenotypicQuality	alanine	BacDive_Metabolite_production|BacDive_Metabolite_utilization	620
kgmicrobe.pathway:ureolysis	biolink:BiologicalProcess	ureolysis	faprotax:type_of_metabolism	600
kgmicrobe.trait:waste	biolink:PhenotypicQuality	#Waste	BacDive_Isolation_category_2	598
kgmicrobe.trait:urea	biolink:PhenotypicQuality	urea	BacDive_Metabolite_production|BacDive_Metabolite_utilization	592
kgmicrobe.trait:2_5	biolink:PhenotypicQuality	2-5	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	580
kgmicrobe.trait:melibiose	biolink:PhenotypicQuality	melibiose	BacDive_Metabolite_utilization	579
kgmicrobe.trait:amylase	biolink:PhenotypicQuality	amylase	BacDive_Enzyme_activity	577
kgmicrobe.trait:caseinase	biolink:PhenotypicQuality	caseinase	BacDive_Enzyme_activity	567
kgmicrobe.trait:hippurate	biolink:PhenotypicQuality	hippurate	BacDive_Metabolite_utilization	565
kgmicrobe.trait:rhamnose	biolink:PhenotypicQuality	rhamnose	BacDive_Metabolite_utilization	557
kgmicrobe.trait:lactate	biolink:PhenotypicQuality	lactate	BacDive_Metabolite_production|BacDive_Metabolite_utilization	555
kgmicrobe.trait:food_production	biolink:PhenotypicQuality	#Food production	BacDive_Isolation_category_2	549
kgmicrobe.trait:casein	biolink:PhenotypicQuality	casein	BacDive_Metabolite_production|BacDive_Metabolite_utilization	546
kgmicrobe.trait:gamma_glutamyltransferase	biolink:PhenotypicQuality	gamma-glutamyltransferase	BacDive_Enzyme_activity	542
kgmicrobe.trait:trypsin	biolink:PhenotypicQuality	trypsin	BacDive_Enzyme_activity	540
kgmicrobe.trait:erythromycin	biolink:PhenotypicQuality	erythromycin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	532
kgmicrobe.trait:3	biolink:PhenotypicQuality	3	BacDive_Cell_length|BacDive_Colony_size|BacDive_Salt_concentration|BacDive_Temperature_for_growth|BacDive_pH_for_growth	531
kgmicrobe.trait:beta_glucuronidase	biolink:PhenotypicQuality	beta-glucuronidase	BacDive_Enzyme_activity	531
kgmicrobe.trait:feces_stool	biolink:PhenotypicQuality	#Feces (Stool)	BacDive_Isolation_category_3	531
kgmicrobe.trait:streptomycin	biolink:PhenotypicQuality	streptomycin	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	531
kgmicrobe.trait:agriculture	biolink:PhenotypicQuality	#Agriculture	BacDive_Isolation_category_2	520
kgmicrobe.trait:0_6	biolink:PhenotypicQuality	0.6	BacDive_Cell_length|BacDive_Cell_width|BacDive_Colony_size|BacDive_Salt_concentration	519
