label	occurrences	source_columns	already_in_mim
potassium tellurite	33	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	no
guanidinium chloride	32	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	no
benzoate	31	BacDive_Metabolite_utilization	no
sodium thiosulfate	31	BacDive_Metabolite_utilization	no
threonine	31	BacDive_Metabolite_utilization	no
D-aspartate	30	BacDive_Metabolite_utilization	no
acetylspiramycin	29	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
cefepime	29	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
clavulanic acid	29	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
polymyxin	29	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
xylitol	29	BacDive_Metabolite_utilization	yes
D-rhamnose	28	BacDive_Metabolite_utilization	no
glycyl-l-glutamate	28	BacDive_Metabolite_utilization	no
rifamycin sv	28	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
sulfate	28	BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	no
citric acid	27	BacDive_Metabolite_utilization	yes
DL-carnitine	27	BacDive_Metabolite_utilization	yes
L-cysteine	27	BacDive_Metabolite_utilization	yes
metronidazole	27	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
nystatin	27	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
(-)-quinic acid	27	BacDive_Metabolite_utilization	no
beta-alanine	26	BacDive_Metabolite_utilization	yes
L-sorbose	26	BacDive_Metabolite_utilization	no
methyl D-glucoside	26	BacDive_Metabolite_utilization	no
sulfite	26	BacDive_Metabolite_utilization	no
D-glucarate	25	BacDive_Metabolite_utilization	no
furazolidone	25	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	no
methanol	25	BacDive_Metabolite_utilization	yes
troleandomycin	25	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
alpha-hydroxybutyrate	24	BacDive_Metabolite_utilization	no
cloxacillin	24	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
hygromycin	24	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	no
niaproof	24	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
sodium bromate	24	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	yes
adenine	23	BacDive_Metabolite_utilization	yes
adenosine	23	BacDive_Metabolite_utilization	yes
cefotaxime sodium	23	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
ethanolamine	23	BacDive_Metabolite_utilization	yes
L-phenylalanine	23	BacDive_Metabolite_utilization	yes
tetrathionate	23	BacDive_Metabolite_utilization	no
ammonia	22	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
L-alanine 4-nitroanilide	22	BacDive_Metabolite_utilization	no
azithromycin	21	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
D-galactonic acid lactone	21	BacDive_Metabolite_utilization	no
galactonate	21	BacDive_Metabolite_utilization	no
ammonium chloride	20	BacDive_Metabolite_utilization	yes
bacteriochlorophyll alpha	20	BacDive_Metabolite_production	no
N-acetyl-D-glucosamine	20	BacDive_Metabolite_utilization	yes
tryptone	20	BacDive_Metabolite_utilization	yes
4-nitrophenyl beta-D-galactopyranoside hydrolysate	19	BacDive_Metabolite_utilization	no
apramycin	19	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	no
casein hydrolysate	19	BacDive_Metabolite_utilization	yes
cycloheximide	19	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
D-psicose	19	BacDive_Metabolite_utilization	no
dextran	19	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
L-lactate	19	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
(R)-lactate	19	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
4-nitrophenyl beta-D-glucopyranoside	18	BacDive_Metabolite_utilization	no
cobalamin	18	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
fosfomycin	18	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	no
L-leucine	18	BacDive_Metabolite_utilization	yes
L-ornithine	18	BacDive_Metabolite_utilization	yes
netilmycin	18	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
optochin	18	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
(R)-malic acid	18	BacDive_Metabolite_utilization	no
(S)-malic acid	18	BacDive_Metabolite_utilization	no
sodium butyrate	18	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	yes
bis-4-nitrophenyl phosphate	17	BacDive_Metabolite_utilization	no
cephalosporin	17	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
D-lactate	17	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
dioxygen	17	BacDive_Metabolite_utilization	no
glycyl L-aspartic acid	17	BacDive_Metabolite_utilization	no
L-threonine	17	BacDive_Metabolite_utilization	yes
sodium chloride	17	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	yes
tetrazolium blue	17	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
xylan	17	BacDive_Metabolite_utilization	yes
cysteine	16	BacDive_Metabolite_utilization	yes
D-glucosaminic acid	16	BacDive_Metabolite_utilization	no
D-saccharate	16	BacDive_Metabolite_utilization	no
L-glutamine	16	BacDive_Metabolite_utilization	yes
linezolid	16	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
pectin	16	BacDive_Metabolite_utilization	yes
polysaccharides	16	BacDive_Metabolite_production	no
putrescine	16	BacDive_Metabolite_utilization	yes
sodium acetate	16	BacDive_Metabolite_utilization	yes
suberic acid	16	BacDive_Metabolite_utilization	yes
thiostrepton	16	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	no
vibriostat	16	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
2-deoxyadenosine	15	BacDive_Metabolite_utilization	no
2-oxogluconate	15	BacDive_Metabolite_utilization	no
galactarate	15	BacDive_Metabolite_utilization	no
sulbactam	15	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
tetrazolium violet	15	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_utilization	yes
cefixime	14	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
dihydroxyacetone	14	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
glutamine	14	BacDive_Metabolite_utilization	yes
polyhydroxybutyrate	14	BacDive_Metabolite_production	yes
sugars	13	bergey:substrates	no
alpha-D-glucose 6-phosphate	13	BacDive_Metabolite_utilization	no
azelaate	13	BacDive_Metabolite_utilization	no
chlortetracyclin	13	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
D-glucosamine	13	BacDive_Metabolite_utilization	no
ferric citrate	13	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
glycine-proline	13	BacDive_Metabolite_utilization	no
levofloxacin	13	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
methyl beta-D-xylopyranoside	13	BacDive_Metabolite_utilization	no
oxaloacetate	13	BacDive_Metabolite_utilization	yes
sulfamethoxydiazine	13	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
dimethylsulfide	12	bergey:substrates	no
ferric iron	12	BacDive_Metabolite_utilization	no
isobutyrate	12	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
L-cystine	12	BacDive_Metabolite_utilization	yes
magnesium(2+)	12	BacDive_Metabolite_utilization	no
methane	12	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
neomycin sulfate	12	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
skimmed milk	12	BacDive_Metabolite_utilization	yes
trypticase-glucose-yeast extract	11	bergey:substrates	no
4-nitrophenyl alpha-D-glucopyranoside	11	BacDive_Metabolite_utilization	no
4-oxopentanoate	11	BacDive_Metabolite_utilization	no
allantoin	11	BacDive_Metabolite_utilization	yes
arabinitol	11	BacDive_Metabolite_utilization	no
beta-cyclodextrin	11	BacDive_Metabolite_utilization	yes
hexanoate	11	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
isovalerate	11	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
L-tryptophan	11	BacDive_Metabolite_production|BacDive_Metabolite_utilization	yes
L-xylose	11	BacDive_Metabolite_utilization	yes
methionine	11	BacDive_Metabolite_utilization	yes
midecamycin	11	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
(-)-anisomycin	10	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
propanol	10	BacDive_Metabolite_utilization	no
sulfamerazine	10	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
teicoplanin	10	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
xanthine	10	BacDive_Metabolite_utilization	yes
2-aminobutyrate	9	BacDive_Metabolite_utilization	yes
3-O-methyl alpha-D-glucopyranoside	9	BacDive_Metabolite_utilization	no
beef extract	9	BacDive_Metabolite_utilization	yes
beta-gentiobiose	9	BacDive_Metabolite_utilization	no
beta-lactose	9	BacDive_Metabolite_utilization	yes
D-sorbose	9	BacDive_Metabolite_utilization	no
sodium pyruvate	9	BacDive_Metabolite_utilization	yes
thymidine	9	BacDive_Metabolite_utilization	yes
triphenyltetrazolium chloride	9	BacDive_Metabolite_utilization	no
2-propanol+CO2	8	bergey:substrates	no
glucose + yeast extract	8	bergey:substrates	no
acetamide	8	BacDive_Metabolite_utilization	no
agarose	8	BacDive_Metabolite_utilization	yes
amphotericin b	8	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity|BacDive_Metabolite_production	yes
betaine	8	BacDive_Metabolite_utilization	yes
cefadroxil	8	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	no
crotonate	8	BacDive_Metabolite_utilization	yes
D-salicin	8	BacDive_Metabolite_utilization	yes
exopolysaccharide	8	BacDive_Metabolite_production	no
glutaric acid	8	BacDive_Metabolite_utilization	yes
hydroxyproline	8	BacDive_Metabolite_utilization	yes
indole-3-acetic acid	8	BacDive_Metabolite_production|BacDive_Metabolite_utilization	no
laminarin	8	BacDive_Metabolite_utilization	no
lecithin	8	BacDive_Metabolite_utilization	no
maltose hydrate	8	BacDive_Metabolite_utilization	no
meropenem	8	BacDive_Antibiotic_resistance|BacDive_Antibiotic_sensitivity	yes
